;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region;averageRating;numVotes;weight_average
2009;tt0085504;The Erotic and Wacky Tunnel of Time;El erótico y loco túnel del tiempo;1983;79.0;['Adventure', 'Comedy', 'Sci-Fi'];US;5.5;40.0;0.0
1861;tt0085155;Amada;Amada;1983;105.0;['Drama'];GB;5.7;35.0;0.0
1856;tt0085139;Adolescence;Adolescencia;1982;108.0;['Comedy', 'Drama', 'Romance'];US;5.1;21.0;0.0
1829;tt0084912;My Grandfather;Wo de ye ye;1981;100.0;['Drama'];US;7.0;6.0;0.0
7021;tt0098455;Tender Hooks;Tender Hooks;1988;95.0;['Drama'];US;5.4;19.0;0.0
1819;tt0084882;Waidmannsheil im Spitzenhöschen;Waidmannsheil im Spitzenhöschen;1982;87.0;['Comedy'];FR;4.3;50.0;0.0
7028;tt0098476;Live Hard;Tie dan xiong feng;1989;88.0;['Action'];US;6.2;25.0;0.0
7035;tt0098496;Torquemada;Torquemada;1989;118.0;['Drama', 'History'];GB;7.4;17.0;0.0
1799;tt0084836;USA, violación y venganza;USA, violación y venganza;1983;95.0;['Action', 'Thriller'];FR;5.7;20.0;0.0
1798;tt0084830;Tuxedo Warrior;Tuxedo Warrior;1982;93.0;['Action', 'Adventure'];GB;3.8;52.0;0.0
7041;tt0098516;Trois pommes à côté du sommeil;Trois pommes à côté du sommeil;1989;98.0;['Drama'];FR;6.5;29.0;0.0
